,code
1477,4124605
1478,4142501
1479,4141405
1480,4222702
1481,4230301
1482,4140101
1483,4140501
1484,4214901
1485,4223601
1486,4173401
1487,4158001
1488,4194505
1489,4209002
1490,4187701
1491,4222207
1492,4184201
1493,4174401
1494,4139601
1495,4140905
1496,4194905
1497,4158801
1498,4191601
1499,4293901
1500,4276101
1501,4290601
1502,4269801
1503,4253802
1504,4295201
1505,4249301
1506,4254901
1507,4236202
1508,4314701
1509,4246302
1510,4256701
1511,4246901
1512,4236401
1513,4321101
1514,4416101
1515,4370902
1516,4401201
1517,4364207
1518,4390701
1519,4338801
1520,4406601
1521,4394301
1522,4405501
1523,4354007
1524,4414001
1525,4392504
1526,4393601
1527,4349301
1528,4407301
1529,4386901
1530,4362101
1531,4356901
1532,4352301
1533,4376501
1534,4364505
1535,4387601
1536,4392601
1537,4386501
1538,4345405
1539,4364107
1540,4390801
1541,4365201
1542,4353201
1543,4510801
1544,4474401
1545,4450201
1546,4499701
1547,4438101
1548,4442601
1549,4441501
1550,4463101
1551,4514301
1552,4484001
1553,4478801
1554,4465505
1555,4469601
1556,4483501
1557,4482201
1558,4511801
1559,4435801
1560,4465201
1561,4501601
1562,4422301
1563,4435602
1564,4497901
1565,4440101
1566,4476301
1567,4453201
1568,4550301
1569,4563401
1570,4574501
1571,4598701
1572,4527101
1573,4574702
1574,4597401
1575,4551405
1576,4551402
1577,4573205
1578,4542501
1579,4599401
1580,4546901
1581,4531205
1582,4522108
1583,4516901
1584,4607501
1585,4516701
1586,4557001
1587,4562806
1588,4539601
1589,4593101
1590,4585301
1591,4539401
1592,4601201
1593,4563501
1594,4633302
1595,4660901
1596,4632202
1597,4673801
1598,4682301
1599,4696501
1600,4655701
1601,4674501
1602,4685301
1603,4672001
1604,4659501
1605,4703201
1606,4631901
1607,4624501
1608,4760001
1609,4738101
1610,4733902
1611,4798801
1612,4759001
1613,4772205
1614,4772602
1615,4762801
1616,4745001
1617,4767201
1618,4719105
1619,4719101
1620,4721001
1621,4708001
1622,4801501
1623,4722901
1624,4728202
1625,4758901
1626,4762101
1627,4785001
1628,4778901
1629,4816001
1630,4886902
1631,4871201
1632,4825101
1633,4889001
1634,4826901
1635,4853801
1636,4874501
1637,4874401
1638,4818501
1639,4874901
1640,9258201
1641,9238801
1642,9273602
1643,9308603
1644,9391302
1645,9382901
1646,9390701
1647,9373601
1648,9383405
1649,9332201
1650,9410702
1651,9360901
1652,9406401
1653,9405801
1654,9318505
1655,9344801
1656,9342101
1657,9332301
1658,9409401
1659,9332305
1660,9384901
1661,9346401
1662,9391701
1663,9323801
1664,9374101
1665,9362102
1666,9401501
1667,9404801
1668,9350101
1669,9428701
1670,9474802
1671,9512605
1672,9453901
1673,9445901
1674,9420501
1675,9440501
1676,9448701
1677,9504201
1678,9485401
1679,9448801
1680,9447701
1681,9480302
1682,9490101
1683,9469305
1684,9483605
1685,9428801
1686,9504301
1687,9424201
1688,9504101
1689,9600401
1690,9567501
1691,9611101
1692,9534001
1693,9581002
1694,9563101
1695,9585801
1696,9563401
1697,9568701
1698,9586101
1699,9533801
1700,9563701
1701,9595501
1702,9548307
1703,9596802
1704,9571502
1705,9595701
1706,9548501
1707,9562201
1708,9549005
1709,9533901
1710,9685601
1711,9542801
1712,9674501
1713,9701101
1714,9701301
1715,9643801
1716,9617501
1717,9677601
1718,9646801
1719,9648001
1720,9777401
1721,9785001
1722,9733601
1723,9803801
1724,9766301
1725,9733402
1726,9759801
1727,9800501
1728,9777001
1729,9791501
1730,9737801
1731,9759601
1732,9773905
1733,9769201
1734,9762801
1735,9729802
1736,9747201
1737,9760401
1738,9737402
1739,9787701
1740,9775301
1741,9787501
1742,9719101
1743,9762601
1744,9750401
1745,9787301
1746,9759001
1747,9733502
1748,9739401
1749,9752601
1750,9748601
1751,9875402
1752,9751801
1753,9740901
1754,9760501
1755,9759301
1756,9806105
1757,9762701
1758,9758201
1759,9861601
1760,9874901
1761,9907501
1762,9908801
1763,9912001
1764,9893401
1765,9869101
1766,9863801
1767,9895901
1768,9910801
1769,9909801
1770,9881301
1771,9929701
1772,9928601
1773,9981401
1774,9990304
1775,9967301
1776,9940001
1777,9943101
1778,9937901
1779,9932201
1780,9970901
1781,9967501
1782,9958101
1783,9930802
1784,9926301
1785,5407501
1786,5407701
1787,7338201
1788,7338404
1789,7346602
1790,7340401
1791,7340501
1792,7363501
1793,7364402
1794,5095705
1795,7344201
1796,7345201
1797,611605
1798,1423005
1799,1423007
1800,7403905
1801,7404007
1802,7392802
1803,7393002
1804,7393101
1805,7393201
1806,7604201
1807,7605401
1808,7605301
1809,7611501
1810,7608401
1811,7608501
1812,7657201
1813,7657302
1814,7663701
1815,7663301
1816,7663501
1817,7663901
1818,7663802
1819,7664001
1820,7665801
1821,7665701
1822,7640701
1823,7640801
1824,7640901
1825,7641101
1826,7641001
1827,7641501
1828,7642701
1829,7642802
1830,7643202
1831,7643701
1832,7644501
1833,7644401
1834,7645501
1835,7645601
1836,7645701
1837,7645801
1838,7646601
1839,7646702
1840,7647401
1841,7647701
1842,7637705
1843,7669101
1844,7670301
1845,7673001
1846,7673101
1847,7682901
1848,7683107
1849,7683301
1850,7683401
1851,7683601
1852,7684701
1853,7685201
1854,7685501
1855,7685601
1856,7685302
1857,7685901
1858,7686301
1859,7686502
1860,7686707
1861,7707601
1862,7689901
1863,7690001
1864,7690801
1865,7712901
1866,7696201
1867,7696301
1868,7696401
1869,7696701
1870,7715701
1871,7715801
1872,7700101
1873,7704502
1874,7705203
1875,7705501
1876,7705601
1877,7706306
1878,7706502
1879,7716501
1880,7716601
1881,7720701
1882,7721201
1883,7721401
1884,7722501
1885,7723201
1886,7723901
1887,7723801
1888,7726301
1889,7728301
1890,7729001
1891,7732301
1892,7732701
1893,7733001
1894,7734201
1895,7735001
1896,7765901
1897,7766401
1898,7766301
1899,7766801
1900,7767501
1901,7789101
1902,7789001
1903,7789201
1904,7789501
1905,7788801
1906,7788901
1907,7790601
1908,4561607
1909,4561605
1910,7791107
1911,7791701
1912,7773101
1913,7773401
1914,7773501
1915,7793601
1916,7774302
1917,7794501
1918,7794001
1919,7830001
1920,7830501
1921,7832401
1922,7832501
1923,7832001
1924,7832101
1925,7862301
1926,7861901
1927,7864408
1928,7862002
1929,7870901
1930,7867301
1931,7870502
1932,7870301
1933,7871401
1934,7867201
1935,7872105
1936,7872601
1937,7873201
1938,7880502
1939,7881201
1940,7879801
1941,7880401
1942,7880201
1943,7881101
1944,7883101
1945,7885701
1946,7888301
1947,7888501
1948,7892801
1949,7894001
1950,7894901
1951,5759706
1952,7898402
1953,7900301
1954,7901001
1955,7901101
1956,7901901
1957,7902901
1958,7903001
1959,1208902
1960,7904601
1961,7905201
1962,7905601
1963,5647305
1964,879405
1965,7908601
1966,7908701
1967,7910101
1968,7910301
1969,7911001
1970,7911101
1971,7911301
1972,7911907
1973,7913701
1974,7915201
1975,7915505
1976,7915401
1977,7915701
1978,7915801
1979,7916701
1980,7916901
1981,9141207
1982,7918201
1983,7919901
1984,7920101
1985,7920305
1986,7920401
1987,7920601
1988,7922601
1989,7922901
1990,7923701
1991,7924207
1992,7924307
1993,7924107
1994,7924605
1995,7924405
1996,7924701
1997,7925207
1998,7924901
1999,7925001
2000,7925101
2001,7925307
2002,7925507
2003,7925701
2004,7925401
2005,7925807
2006,7925907
2007,7926001
2008,7926101
2009,7926701
2010,7926801
2011,7927002
2012,7927307
2013,7927701
2014,7928002
2015,7928302
2016,7928701
2017,7929301
2018,7930301
2019,7931401
2020,7931501
2021,7932301
2022,7932201
2023,7933702
2024,7933802
2025,7934701
2026,7934601
2027,7934801
2028,7934901
2029,7936001
2030,7937002
2031,7937301
2032,7937101
2033,7940701
2034,7940601
2035,7943605
2036,7945701
2037,7946001
2038,7946401
2039,7946301
2040,7946605
2041,7947402
2042,7946901
2043,7948701
2044,7948601
2045,7949502
2046,791605
2047,791607
2048,7949402
2049,7949201
2050,7950101
2051,7950501
2052,7951801
2053,7952001
2054,7952801
2055,7953901
2056,7954401
2057,7955301
2058,7955401
2059,7956701
2060,7957201
2061,7958401
2062,7958701
2063,7959201
2064,7960705
2065,7960902
2066,7961301
2067,7961101
2068,7961401
2069,7961701
2070,7968301
2071,7984401
2072,7971901
2073,7986501
2074,7987301
2075,7988701
2076,7989601
2077,7990701
2078,7992001
2079,7994001
2080,7994101
2081,7994701
2082,7994901
2083,3572505
2084,7998501
2085,7999401
2086,7999701
2087,8065201
2088,8066401
2089,8067601
2090,8068001
2091,8068201
2092,8068401
2093,8069101
2094,8069401
2095,8073401
2096,8074401
2097,8073701
2098,8074901
2099,8075101
2100,8082102
2101,8082301
2102,8082501
2103,8082601
2104,8082801
2105,8087001
2106,8087101
2107,8087405
2108,8090501
2109,8092205
2110,8093105
2111,8093301
2112,8094401
2113,8094701
2114,8033301
2115,8034504
2116,8036001
2117,8038401
2118,8040001
2119,8064501
2120,8064401
2121,8112501
2122,8116501
2123,8096502
2124,8107701
2125,8120501
2126,8121005
2127,8108301
2128,8108201
2129,8108401
2130,8110401
2131,8110701
2132,8121901
2133,8122201
2134,8123501
2135,8125101
2136,8125701
2137,8125801
2138,8125901
2139,8126201
2140,8126401
